2025-05-08 15:25:12,340 - root - INFO - Overwatch Aim Assist started
2025-05-08 15:25:16,056 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703516.0163577, 'target_position': {'x': 63, 'y': 122}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 289.0}
2025-05-08 15:25:16,072 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 55, 'y': 156}, 'area': 146.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,074 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 55, 'y': 85}, 'area': 128.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,075 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 34, 'y': 24}, 'area': 75.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,076 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 64, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,077 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 54, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,078 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 44, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,079 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 34, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,082 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 24, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,084 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 14, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,086 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 4, 'y': 11}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,091 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0616946, 'position': {'x': 74, 'y': 11}, 'area': 62.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,094 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703516.0616946, 'current_position': {'x': 55, 'y': 156}, 'predicted_position': {'x': 54, 'y': 157}, 'velocity': {'x': -2.1495669050651776, 'y': 9.135659346527005}}
2025-05-08 15:25:16,097 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703516.0616946, 'target_position': {'x': 55, 'y': 156}, 'crosshair_offset': {'x': -74, 'y': 59}, 'target_area': 146.0}
2025-05-08 15:25:16,104 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703516.0616946, 'target_position': {'x': 55, 'y': 156}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 146.0}
2025-05-08 15:25:16,125 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.1073256, 'position': {'x': 73, 'y': 115}, 'area': 268.5, 'mouse_position': {'x': 954, 'y': 536}}
2025-05-08 15:25:16,126 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.1073256, 'position': {'x': 96, 'y': 5}, 'area': 56.0, 'mouse_position': {'x': 954, 'y': 536}}
2025-05-08 15:25:16,128 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.1073256, 'position': {'x': 86, 'y': 5}, 'area': 56.0, 'mouse_position': {'x': 954, 'y': 536}}
2025-05-08 15:25:16,129 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.1073256, 'position': {'x': 76, 'y': 5}, 'area': 56.0, 'mouse_position': {'x': 954, 'y': 536}}
2025-05-08 15:25:16,130 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.1073256, 'position': {'x': 66, 'y': 5}, 'area': 56.0, 'mouse_position': {'x': 954, 'y': 536}}
